epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
32,5586.7,0.22559,0.09179,0.00199,0.00112,0.9975,0.99649,0.99497,0.99237,0.16487,0.0632,0.0013,0.00064,0.0007724,0.0007724,0.0007724
33,5761.01,0.22416,0.08976,0.00194,0.00116,0.99825,0.998,0.99498,0.99249,0.17051,0.06497,0.00136,0.00065,0.0007328,0.0007328,0.0007328
34,5935.29,0.22398,0.08881,0.00192,0.00102,0.99637,0.99875,0.99492,0.99239,0.16545,0.0634,0.00131,0.00072,0.0006932,0.0006932,0.0006932
35,6109.38,0.21928,0.08611,0.00196,0.00102,0.99719,0.99875,0.99498,0.99264,0.16826,0.06306,0.00137,0.0006,0.0006536,0.0006536,0.0006536
36,6284.26,0.22224,0.08958,0.00193,0.00103,0.99736,0.99925,0.99497,0.99251,0.16426,0.06228,0.0013,0.0006,0.000614,0.000614,0.000614
37,6458.5,0.22078,0.08919,0.00199,0.00103,0.99681,0.997,0.99496,0.99271,0.16256,0.06259,0.00129,0.0006,0.0005744,0.0005744,0.0005744
38,6631.96,0.2183,0.0869,0.00196,0.00101,0.99428,0.99901,0.99497,0.9927,0.16263,0.06293,0.00129,0.00059,0.0005348,0.0005348,0.0005348
39,6806.2,0.21526,0.08528,0.00193,0.001,0.99775,0.99793,0.99497,0.99263,0.16099,0.06262,0.00127,0.00057,0.0004952,0.0004952,0.0004952
40,6980.13,0.2166,0.08638,0.00193,0.00094,0.99721,0.99825,0.99499,0.99265,0.16184,0.06158,0.00128,0.00058,0.0004556,0.0004556,0.0004556
41,7152.96,0.18174,0.06507,0.0011,0.00076,0.99774,0.99675,0.99499,0.9922,0.16493,0.06331,0.00131,0.00064,0.000416,0.000416,0.000416
42,7323.66,0.17771,0.06454,0.00108,0.00076,0.99775,0.99784,0.99499,0.99202,0.16418,0.06177,0.00129,0.00065,0.0003764,0.0003764,0.0003764
43,7494.42,0.17645,0.06297,0.00106,0.00077,0.99676,0.99869,0.99499,0.99234,0.16501,0.06209,0.00129,0.00062,0.0003368,0.0003368,0.0003368
44,7665.41,0.17686,0.06323,0.00106,0.00073,0.9975,0.99808,0.99499,0.99264,0.16326,0.06181,0.00129,0.00062,0.0002972,0.0002972,0.0002972
45,7836.06,0.176,0.06586,0.00106,0.00073,0.99881,0.998,0.99499,0.99272,0.16176,0.05975,0.00127,0.0006,0.0002576,0.0002576,0.0002576
46,8006.95,0.17265,0.06191,0.00102,0.00067,0.99875,0.99837,0.99499,0.9925,0.16244,0.06007,0.00128,0.0006,0.000218,0.000218,0.000218
47,8177.95,0.17082,0.06125,0.00101,0.00068,0.99825,0.99897,0.99499,0.99244,0.16192,0.05988,0.00127,0.00058,0.0001784,0.0001784,0.0001784
48,8348.73,0.17041,0.06061,0.00103,0.00069,0.99868,0.99875,0.99499,0.99276,0.16145,0.05936,0.00126,0.00058,0.0001388,0.0001388,0.0001388
49,8519.8,0.16767,0.06016,0.00099,0.00067,0.99858,0.99875,0.99499,0.99275,0.16182,0.05976,0.00127,0.00059,9.92e-05,9.92e-05,9.92e-05
50,8690.65,0.16642,0.06112,0.00099,0.00065,0.99869,0.99825,0.99499,0.99269,0.1614,0.06016,0.00127,0.00059,5.96e-05,5.96e-05,5.96e-05
